Property_ID,Expected loss date (include date)
EOH2235,17/09/2021
EOH2028,17/09/2021
EOH3021,09/12/2021
EOH2153,12/10/2021
EOH1811,10/12/2021
EOH1927,01/06/2022
EOH1544,04/08/2022
EOH2750,30/08/2022
EOH1783,22/02/2022
EOH0368,16/11/2021
EOH0830,25/08/2022
EOH0087,17/05/2022
EOH1886,30/06/2022
EOH1870,19/04/2022
EOH0354,08/03/2022
EOH0241,26/07/2022
EOH2439,03/02/2022
EOH0465,05/02/2022
EOH2434,10/03/2022
EOH0663,21/04/2022
EOH2705,13/05/2022
EOH1588,15/03/2022
EOH0616,03/12/2021
EOH1457,28/04/2022
EOH1135,14/12/2021
EOH1053,24/05/2022
EOH2453,19/07/2022
EOH2216,05/07/2022
EOH1287,21/04/2022
EOH0043,14/06/2022
EOH0958,11/01/2022
EOH1360,13/01/2022
EOH2648,08/03/2022
EOH3115,22/03/2022
EOH0351,03/05/2022
EOH1884,18/08/2022
EOH0505,16/09/2022
EOH1885,01/09/2022
EOH2061,29/09/2022
EOH1190,27/08/2022
EOH1045,16/09/2022
EOH0132,28/09/2022
EOH2700,31/03/2022
EOH1237,31/03/2022
EOH0236,31/03/2022
EOH2005,31/03/2022
EOH2481,31/03/2022
EOH2022,31/03/2022
EOH2003,31/03/2022
EOH2640,06/01/2022
EOH0694,31/03/2022
EOH0034,31/03/2022
EOH0315,31/03/2022
EOH2198,31/03/2022
EOH0632,31/03/2022
EOH1880,31/03/2022
EOH0027,31/03/2022
EOH2540,31/03/2022
EOH1675,31/03/2022
EOH3197,31/03/2022
EOH2956,31/03/2022
EOH0162,31/03/2022
EOH1643,31/03/2022
EOH0029,31/03/2022
EOH2406,01/08/2021
EOH1400,31/03/2022
EOH0205,31/03/2022
EOH1478,31/03/2022
EOH3086,31/03/2022
EOH2699,31/03/2022
EOH2713,31/03/2022
EOH0584,01/08/2021
EOH0728,31/03/2022
EOH0025,31/03/2022
EOH2758,31/03/2022
EOH2505,31/03/2022
